"Class","Fingerprint","PostId","TimeUp","SWidth","SHeight","ScreenX","ScreenXUp","ScreenY","ScreenYUp","Force","ForceUp","RadiusX","RadiusY"
"f","1558376879126121863",1169490,0,360,749,251,320,507,678,1,0,0.33310502767562866,0.33310502767562866
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1182238,0,320,568,284,257,3177,3256,0,0,25.5242919921875,25.5242919921875
"f","6b8fbc70620fe6fbf126f8843d2b5659",1169490,662,360,780,256,337,483,158,2.669999837875366,0,27.5,25
"f","00feb567589f946eda1fe958e86693e2",1169490,219,360,640,335,351,411,374,0.16862745583057404,0,0,0
"f","1558376879126121863",1169490,149,360,749,185,280,653,480,1,0,0.4996574819087982,0.4996574819087982
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1182238,956,320,568,301,306,4545,4533,0,0,25.5242919921875,25.5242919921875
"f","6b8fbc70620fe6fbf126f8843d2b5659",1169490,64,360,780,283,280,496,350,2.5399999618530273,0,25,27.5
"f","00feb567589f946eda1fe958e86693e2",1169490,538,360,640,287,322,452,398,0.1098039299249649,0,0,0
"f","1558376879126121863",1169490,269,360,749,203,280,545,286,1,0,0.6662100553512573,0.6662100553512573
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1182238,152,320,568,280,287,4124,4074,0,0,25.5242919921875,25.5242919921875
"f","6b8fbc70620fe6fbf126f8843d2b5659",1169490,193,360,780,309,315,483,460,1.9499999284744263,0,25,20
"f","00feb567589f946eda1fe958e86693e2",1169490,81,360,640,305,341,514,407,0.13725490868091583,0,0,0
"f","1558376879126121863",1169490,119,360,749,305,221,342,626,1,0,0.4996574819087982,0.4996574819087982
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1182238,479,320,568,271,278,4000,3990,0,0,25.5242919921875,25.5242919921875
"f","6b8fbc70620fe6fbf126f8843d2b5659",1169490,59,360,780,253,236,236,374,3.9599997997283936,0,32.5,30
"f","00feb567589f946eda1fe958e86693e2",1169490,0,360,640,94,85,307,456,0.18431372940540314,0,0,0
"f","1558376879126121863",1169490,310,360,749,236,349,647,422,1,0,0.16655251383781433,0.16655251383781433
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1182238,438,320,568,290,299,4560,4544,0,0,25.5242919921875,25.5242919921875
"f","6b8fbc70620fe6fbf126f8843d2b5659",1169490,96,360,780,300,297,574,507,1.75,0,22.5,27.5
"f","00feb567589f946eda1fe958e86693e2",1169490,339,360,640,316,331,412,387,0.16470588743686676,0,0,0
"f","1558376879126121863",1169490,113,360,749,329,215,296,554,1,0,0.4996574819087982,0.4996574819087982
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1182238,467,320,568,284,300,4441,4431,0,0,25.5242919921875,25.5242919921875
"f","6b8fbc70620fe6fbf126f8843d2b5659",1169490,453,360,780,277,275,414,378,2.109999895095825,0,25,27.5
"f","00feb567589f946eda1fe958e86693e2",1169490,0,360,640,94,85,307,456,0.18431372940540314,0,0,0
"f","1558376879126121863",1169490,908,360,749,245,321,581,198,1,0,0.4996574819087982,0.4996574819087982
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1182238,464,320,568,270,280,4053,4038,0,0,25.5242919921875,25.5242919921875
"f","6b8fbc70620fe6fbf126f8843d2b5659",1169490,199,360,780,319,320,583,454,1.659999966621399,0,25,30
"f","00feb567589f946eda1fe958e86693e2",1169490,1193,360,640,11,0,514,194,0.15294118225574493,0,0,0
"f","1558376879126121863",1169490,143,360,749,209,287,512,268,1,0,0.4996574819087982,0.4996574819087982
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1182238,0,320,568,284,257,3177,3256,0,0,25.5242919921875,25.5242919921875
"f","6b8fbc70620fe6fbf126f8843d2b5659",1169490,350,360,780,293,302,446,388,1.8399999141693115,0,27.5,20
"f","00feb567589f946eda1fe958e86693e2",1169490,83,360,640,283,326,468,398,0.1568627506494522,0,0,0
"f","1558376879126121863",1169490,533,360,749,175,335,649,418,1,0,0.4996574819087982,0.4996574819087982
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1182238,142,320,568,222,237,3381,3464,0,0,25.5242919921875,25.5242919921875
"f","6b8fbc70620fe6fbf126f8843d2b5659",1169490,45,360,780,244,271,453,323,2.2100000381469727,0,27.5,25
"f","00feb567589f946eda1fe958e86693e2",1169490,102,360,640,283,346,475,384,0.1725490242242813,0,0,0
"f","1558376879126121863",1169490,1380,360,749,174,222,594,562,1,0,0.4996574819087982,0.4996574819087982
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1182238,336,320,568,224,250,3494,3472,0,0,25.5242919921875,25.5242919921875
"f","6b8fbc70620fe6fbf126f8843d2b5659",1169490,125,360,780,307,313,578,482,1.399999976158142,0,20,22.5
"f","00feb567589f946eda1fe958e86693e2",1169490,0,360,640,36,337,515,387,0.13333334028720856,0,0,0
"f","1558376879126121863",1169490,95,360,749,173,173,697,697,1,0,0.4996574819087982,0.4996574819087982
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1182238,2959,320,568,222,229,3237,3161,0,0,38.290771484375,38.290771484375
"f","6b8fbc70620fe6fbf126f8843d2b5659",1169490,895,360,780,298,314,486,605,2.5899999141693115,0,30,22.5
"f","00feb567589f946eda1fe958e86693e2",1169490,338,360,640,272,302,497,423,0.0784313753247261,0,0,0
"f","1558376879126121863",1169490,399,360,749,251,332,507,342,1,0,0.33310502767562866,0.33310502767562866
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1182238,285,320,568,264,269,3911,3900,0,0,25.5242919921875,25.5242919921875
"f","6b8fbc70620fe6fbf126f8843d2b5659",1169490,191,360,780,301,301,474,474,2.1399998664855957,0,30,22.5
"f","00feb567589f946eda1fe958e86693e2",1169490,309,360,640,277,313,474,414,0.11372549831867218,0,0,0
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1169490,148,320,568,256,253,2788,2752,0,0,25.5242919921875,25.5242919921875
"f","6b8fbc70620fe6fbf126f8843d2b5659",1169490,550,360,780,284,303,564,482,1.8199999332427979,0,25,27.5
"f","00feb567589f946eda1fe958e86693e2",1169490,596,360,640,66,24,476,572,0.10588236153125763,0,0,0
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1182238,475,320,568,264,269,3405,3394,0,0,25.5242919921875,25.5242919921875
"f","6b8fbc70620fe6fbf126f8843d2b5659",1169490,49,360,780,276,276,457,589,2.2100000381469727,0,30,22.5
"f","00feb567589f946eda1fe958e86693e2",1169490,134,360,640,33,71,586,437,0.15294118225574493,0,0,0
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1182238,704,320,568,263,283,3532,3521,0,0,25.5242919921875,25.5242919921875
"f","6b8fbc70620fe6fbf126f8843d2b5659",1169490,852,360,780,317,304,437,468,2.9800000190734863,0,30,25
"f","00feb567589f946eda1fe958e86693e2",1169490,0,360,640,36,337,515,387,0.13333334028720856,0,0,0
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1169490,1061,320,568,254,252,1148,982,0,0,25.5242919921875,25.5242919921875
"f","6b8fbc70620fe6fbf126f8843d2b5659",1169490,74,360,780,238,244,467,312,2.679999828338623,0,27.5,30
"f","00feb567589f946eda1fe958e86693e2",1169490,274,360,640,67,43,543,309,0.11764706671237946,0,0,0
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1182238,791,320,568,224,219,3169,3180,0,0,38.290771484375,38.290771484375
"f","6b8fbc70620fe6fbf126f8843d2b5659",1169490,98,360,780,303,303,567,475,1.75,0,22.5,27.5
"f","00feb567589f946eda1fe958e86693e2",1169490,634,360,640,88,59,431,577,0.1568627506494522,0,0,0
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1182238,275,320,568,235,257,3734,3710,0,0,25.5242919921875,25.5242919921875
"f","6b8fbc70620fe6fbf126f8843d2b5659",1169490,76,360,780,312,307,438,588,2.369999885559082,0,30,25
"f","72b7ccbe2da3a6f7889acba3e7b401d4",1169490,1919,360,720,306,326,387,325,0.003921568859368563,0,0,0
"f","322061f16e1b5803cab36394f9f9c9de",1169490,4953,320,568,232,100,1767,2097,0,0,25.5242919921875,25.5242919921875
"f","72b7ccbe2da3a6f7889acba3e7b401d4",1169490,1076,360,720,267,334,522,321,0.003921568859368563,0,0,0
"f","322061f16e1b5803cab36394f9f9c9de",1169490,399,320,568,210,133,1157,1191,0,0,25.5242919921875,25.5242919921875
"f","72b7ccbe2da3a6f7889acba3e7b401d4",1169490,1919,360,720,306,326,387,325,0.003921568859368563,0,0,0
"f","322061f16e1b5803cab36394f9f9c9de",1169490,149,320,568,197,259,1441,1376,0,0,38.290771484375,38.290771484375
"f","72b7ccbe2da3a6f7889acba3e7b401d4",1169490,319,360,720,249,303,583,420,0.003921568859368563,0,0,0
"f","322061f16e1b5803cab36394f9f9c9de",1169490,244,320,568,235,146,414,440,0,0,38.290771484375,38.290771484375
"f","72b7ccbe2da3a6f7889acba3e7b401d4",1169490,1162,360,720,267,342,515,300,0.003921568859368563,0,0,0
"f","322061f16e1b5803cab36394f9f9c9de",1169490,176,320,568,162,242,557,525,0,0,38.290771484375,38.290771484375
"f","72b7ccbe2da3a6f7889acba3e7b401d4",1169490,1919,360,720,306,326,387,325,0.003921568859368563,0,0,0
"f","322061f16e1b5803cab36394f9f9c9de",1169490,295,320,568,226,278,1007,999,0,0,38.290771484375,38.290771484375
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1169490,405,320,568,266,279,3000,2985,0,0,25.5242919921875,25.5242919921875
"f","322061f16e1b5803cab36394f9f9c9de",1169490,4951,320,568,232,100,1767,2097,0,0,25.5242919921875,25.5242919921875
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1169490,81,320,568,248,263,2335,2258,0,0,25.5242919921875,25.5242919921875
"f","322061f16e1b5803cab36394f9f9c9de",1169490,399,320,568,210,133,1157,1191,0,0,25.5242919921875,25.5242919921875
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1169490,120,320,568,252,257,2048,1994,0,0,25.5242919921875,25.5242919921875
"f","322061f16e1b5803cab36394f9f9c9de",1169490,636,320,568,226,276,117,100,0,0,25.5242919921875,25.5242919921875
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1169490,356,320,568,232,248,1169,1128,0,0,25.5242919921875,25.5242919921875
"f","322061f16e1b5803cab36394f9f9c9de",1169490,176,320,568,162,242,557,525,0,0,38.290771484375,38.290771484375
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1169490,621,320,568,252,260,1430,1417,0,0,25.5242919921875,25.5242919921875
"f","322061f16e1b5803cab36394f9f9c9de",1169490,295,320,568,226,278,1007,999,0,0,38.290771484375,38.290771484375
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1169490,789,320,568,64,29,294,282,0,0,51.048583984375,51.048583984375
"f","322061f16e1b5803cab36394f9f9c9de",1169490,149,320,568,197,259,1441,1376,0,0,38.290771484375,38.290771484375
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1169490,148,320,568,248,236,1737,1679,0,0,25.5242919921875,25.5242919921875
"f","322061f16e1b5803cab36394f9f9c9de",1169490,85,320,568,184,300,381,325,0,0,38.290771484375,38.290771484375
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1169490,118,320,568,260,252,1544,1471,0,0,25.5242919921875,25.5242919921875
"f","322061f16e1b5803cab36394f9f9c9de",1169490,88,320,568,189,283,1158,979,0,0,38.290771484375,38.290771484375
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1169490,1455,320,568,56,29,298,223,0,0,51.048583984375,51.048583984375
"f","322061f16e1b5803cab36394f9f9c9de",1169490,212,320,568,179,277,359,337,0,0,25.5242919921875,25.5242919921875
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1169490,2999,320,568,81,87,381,387,0,0,38.290771484375,38.290771484375
"f","322061f16e1b5803cab36394f9f9c9de",1169490,163,320,568,203,159,581,619,0,0,25.5242919921875,25.5242919921875
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1169490,395,320,568,264,269,928,916,0,0,25.5242919921875,25.5242919921875
"f","322061f16e1b5803cab36394f9f9c9de",1169490,88,320,568,189,283,1158,979,0,0,38.290771484375,38.290771484375
"f","cba2c4d1ab1b7a2a2b70a34dbd104906",1169490,394,320,568,298,311,438,405,0,0,25.5242919921875,25.5242919921875
"f","1557811114505039991",1169490,295,360,760,11,12,403,342,0.05098039656877518,0,0,0
"f","77855fed15a8f0b4ecf05bb058c35a16",1169490,114,360,749,329,215,296,554,1,0,0.4996574819087982,0.4996574819087982
"f","1557811114505039991",1169490,251,360,760,8,7,438,340,0.062745101749897,0,0,0
"f","77855fed15a8f0b4ecf05bb058c35a16",1169490,142,360,749,209,287,512,268,1,0,0.4996574819087982,0.4996574819087982
"f","1557811114505039991",1169490,489,360,760,10,35,408,484,0.04313725605607033,0,0,0
"f","77855fed15a8f0b4ecf05bb058c35a16",1169490,533,360,749,175,335,649,418,1,0,0.4996574819087982,0.4996574819087982
